Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert,CleanedName,lat,lon
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,DEET,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Desethyl-atrazin,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Desisopropyl-atrazin,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Diazinon,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Dimethachlor,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Dimethachlor CGA 369873,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Dimethenamid,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Dimethoat,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Dimethylsulfamid,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Diuron,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Diuron-desmethyl,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Ethofumesat,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Irgarol,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Isoproturon,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Isoproturon-desmethyl,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Linuron,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Mecoprop,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metalaxyl,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metamitron,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metamitron-desamino,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metazachlor,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metobromuron,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metolachlor,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metolachlor CGA 368208,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metolachlor SYN547977,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Metribuzin,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Monolinuron,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Nicosulfuron ASDM,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Nicosulfuron AUSN,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Nicosulfuron UCSN,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Oxadixyl,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Pirimicarb,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
